search.id,University,Department,Position,Name,ecoevo,sex,PhD.taiwan,PhD.country,PhD.university,PhD.uni.rank,PhD,Assistant.since,full.professor,time.to.assistant,time.to.full,Paper.number.before,Paper.number.after,Associate.since,Professor.since,Year,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index_before,h_index_after,h_index_diff,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate,Cites_Author_Year,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,ECC,acc1,acc2,acc5,acc20,hA,beforeafter,stage
125,National Chung Hsing University,Department of Horticulture,Associate Professor,Tung-Chi_Liu,1,m,non-Taiwan,Japan,Chiba University,477,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,assistant
126,National Cheng Kung University,Department of Life Sciences,Professor,Tzen-Yuh_Chiang,1,m,non-Taiwan,USA,Washington University in St. Louis,107,1994,1996,2001,2,5,NA,NA,NA,NA, 1992 to 1996,3,16,26,0.62,5.33,16,3,1,2,19,17,3,1,2,2,0.62,0.79,0.62,3.16,2,12/2/21 1:31,0.61,0.08,87.5,100,0,1995,1996,16,0,0,0,0,0,before,assistant
127,Academia Sinica,Biodiversity Research Center,Assistant Professor,Tzu-Hao_Lin,1,m,Taiwan,Taiwan,National Taiwan University,68,2013,2020,NA,7,NA,NA,NA,NA,NA, 2016 to 2020,13,106,5,21.2,8.15,32.4,3.44,4.08,5,NA,,10,7,1.47,4,54.6,7.39,17.28,8.25,1.98,12/1/21 4:58,6.48,0.8,87.7,100,2,2016,2020,106,7,7,4,0,4,before,assistant
128,National Sun Yat-sen University,Department of Oceanography,Assistant Professor,Tzu-Hsuan_Tu,1,f,Taiwan,Taiwan,National Taiwan University,68,2014,2019,NA,5,NA,NA,NA,NA,NA, 2015 to 2019,10,109,6,18.17,10.9,25.5,2.32,4.7,7,NA,,10,7,1.44,3,28.02,5.29,5.99,7.07,2.07,12/21/21 20:58,4.25,0.5,90.8,100,0,2015,2019,109,9,7,2,0,3,before,assistant
129,National Taiwan University,Department of Forestry and Resource Conservation,Professor,Tzung-Su_Ding,1,m,non-Taiwan,USA,University of California; Davis,108,2001,2002,2019,1,17,NA,NA,NA,NA, 1998 to 2002,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,12/16/21 21:01,0,0,0,0,0,0,0,0,0,0,0,0,0,before,assistant
130,National Taiwan University,School of Veterinary Medicine,Associate Professor,Wei-Cheng_Yang,1,m,Taiwan,Taiwan,National Taiwan University,68,2008,2009,NA,1,NA,NA,NA,NA,NA, 2005 to 2009,5,61,15,4.07,12.2,15.8,1.4,3.8,4,4,0,5,4,1,3,4.4,2.1,1.15,6.71,1.07,12/4/21 4:20,1.05,0.2,100,100,0,2006,2008,61,4,0,0,0,1,before,assistant
131,National Taiwan University,Institute of Oceanography,Professor,Wei-Jen_Chen,1,m,non-Taiwan,France,Université Paris VI,,2001,2010,2017,9,7,NA,NA,NA,NA, 2006 to 2010,17,1225,15,81.67,72.06,352.52,5.34,3.65,14,19,5,17,12,4,12,96.04,9.8,28.04,31.89,4.93,12/14/21 3:58,23.5,0.8,99,100,3,2006,2010,1225,14,13,10,0,6,before,assistant
132,National Taiwan Normal University,Graduate Institute of Environmental Education,Professor,Wei-Ta_Fang,1,m,non-Taiwan,USA,Texas A&M University,168,2005,2008,2019,3,11,NA,NA,NA,NA, 2004 to 2008,4,24,16,1.5,6,11,2.83,1.75,2,6,4,4,1,0.8,2,1.81,1.34,0.81,4.12,1.83,12/20/21 19:16,0.68,0.13,87.5,100,0,2005,2008,24,1,0,0,0,1,before,assistant
133,National Chung Hsing University,Department of Entomology,Professor,Wen-Bin_Yeh,1,m,Taiwan,Taiwan,National Chung Hsing University,675,1998,1998,2015,0,17,NA,NA,NA,NA, 1994 to 1998,3,109,27,4.04,36.33,45.67,1.17,2.67,3,3,0,3,2,1.13,3,4.35,2.09,1.8,10,1.17,12/12/21 17:08,1.69,0.11,100,100,0,1994,1998,109,2,1,0,0,2,before,assistant
134,National Taiwan University,Department of Agronomy,Associate Professor,Wen-Po_Chuang,1,m,non-Taiwan,USA,Pennsylvania State University,96,2012,2014,NA,2,NA,NA,NA,NA,NA, 2010 to 2014,3,208,7,29.71,69.33,79.5,1,3.33,3,7,4,3,3,0.9,3,29.71,5.45,11.36,14.11,1,12/17/21 2:26,11.35,0.43,100,100,1,2014,2014,208,3,3,3,0,3,before,assistant
